freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.541e+03,2.467e+01,2.478e+01,1.590e+03
1.5,8.895e+02,3.880e+01,5.802e+01,9.863e+02
3.1,4.540e+01,3.519e+01,6.366e+01,1.442e+02
4.6,5.849e+02,3.073e+01,5.797e+01,6.736e+02
6.1,2.209e+03,3.166e+01,5.943e+01,2.300e+03
7.7,3.711e+03,3.314e+01,6.063e+01,3.805e+03
9.2,5.414e+03,3.545e+01,6.135e+01,5.511e+03
10.7,6.888e+03,3.677e+01,6.031e+01,6.985e+03
12.3,8.877e+03,3.618e+01,5.981e+01,8.973e+03
13.8,1.180e+04,3.404e+01,5.755e+01,1.189e+04
15.3,1.540e+04,3.340e+01,5.713e+01,1.549e+04
16.9,1.921e+04,3.363e+01,5.939e+01,1.930e+04
18.4,2.308e+04,3.159e+01,6.024e+01,2.317e+04
19.9,2.820e+04,3.284e+01,6.134e+01,2.830e+04
21.5,3.273e+04,3.145e+01,5.843e+01,3.282e+04
23.0,3.829e+04,3.241e+01,5.525e+01,3.837e+04
24.5,4.558e+04,3.663e+01,6.043e+01,4.568e+04
26.1,5.205e+04,4.276e+01,7.755e+01,5.217e+04
27.6,5.935e+04,5.186e+01,1.055e+02,5.951e+04
29.1,7.076e+04,6.285e+01,1.165e+02,7.094e+04
30.6,8.416e+04,5.133e+01,1.287e+02,8.434e+04
32.2,9.951e+04,4.167e+01,1.137e+02,9.967e+04
33.7,1.165e+05,3.521e+01,8.861e+01,1.167e+05
35.2,1.344e+05,3.703e+01,7.957e+01,1.345e+05
36.8,1.580e+05,4.038e+01,9.718e+01,1.581e+05
38.3,1.893e+05,4.061e+01,1.166e+02,1.894e+05
39.8,2.282e+05,3.938e+01,1.610e+02,2.284e+05
41.4,2.771e+05,4.076e+01,2.450e+02,2.774e+05
42.9,3.421e+05,4.422e+01,4.231e+02,3.426e+05
44.4,4.327e+05,6.585e+01,6.903e+02,4.335e+05
