freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.041e+01,1.160e+02,1.873e+03,2.009e+03
1.5,3.209e+01,8.789e+01,1.076e+03,1.196e+03
3.1,2.617e+01,2.820e+01,6.439e+01,1.188e+02
4.6,2.413e+01,2.822e+01,6.707e+02,7.231e+02
6.1,2.668e+01,2.875e+01,2.503e+03,2.558e+03
7.7,3.224e+01,3.151e+01,3.908e+03,3.971e+03
9.2,4.153e+01,3.203e+01,5.311e+03,5.384e+03
10.7,4.300e+01,3.540e+01,7.766e+03,7.845e+03
12.3,2.644e+01,3.709e+01,1.111e+04,1.118e+04
13.8,2.637e+01,3.942e+01,1.474e+04,1.480e+04
15.3,2.469e+01,4.847e+01,1.934e+04,1.942e+04
16.9,3.179e+01,5.605e+01,2.547e+04,2.556e+04
18.4,3.331e+01,6.505e+01,3.333e+04,3.343e+04
19.9,3.321e+01,8.265e+01,4.368e+04,4.380e+04
21.5,2.907e+01,1.214e+02,5.770e+04,5.785e+04
23.0,2.850e+01,1.948e+02,7.692e+04,7.715e+04
24.5,3.512e+01,3.237e+02,1.047e+05,1.051e+05
26.1,5.331e+01,5.197e+02,1.425e+05,1.430e+05
27.6,1.126e+02,6.345e+02,1.819e+05,1.827e+05
29.1,1.861e+02,7.605e+02,2.130e+05,2.140e+05
30.7,2.683e+02,1.005e+03,2.424e+05,2.437e+05
32.2,2.112e+02,1.231e+03,3.049e+05,3.063e+05
33.7,1.304e+02,2.159e+03,4.500e+05,4.522e+05
35.3,3.198e+02,4.822e+03,7.916e+05,7.968e+05
36.8,1.971e+03,1.555e+04,1.983e+06,2.000e+06
38.3,1.042e+04,4.953e+04,5.070e+06,5.130e+06
39.9,2.273e+04,7.334e+04,6.495e+06,6.591e+06
41.4,2.100e+04,6.563e+04,5.244e+06,5.331e+06
43.0,1.451e+04,4.973e+04,3.632e+06,3.696e+06
44.5,9.500e+03,3.687e+04,2.456e+06,2.502e+06
46.0,5.258e+03,2.931e+04,1.783e+06,1.818e+06
47.6,4.684e+03,2.725e+04,1.402e+06,1.434e+06
49.1,3.728e+03,2.902e+04,1.130e+06,1.163e+06
50.6,2.365e+03,2.601e+04,9.765e+05,1.005e+06
52.2,1.452e+03,1.790e+04,8.720e+05,8.914e+05
53.7,1.694e+03,1.224e+04,7.796e+05,7.935e+05
55.2,2.139e+03,9.057e+03,7.132e+05,7.244e+05
56.8,2.763e+03,8.594e+03,6.554e+05,6.668e+05
58.3,5.154e+03,1.268e+04,5.970e+05,6.149e+05
59.8,7.434e+03,2.184e+04,5.606e+05,5.899e+05
61.4,9.199e+03,3.683e+04,5.305e+05,5.766e+05
62.9,1.249e+04,4.889e+04,5.067e+05,5.681e+05
64.4,1.343e+04,6.061e+04,4.746e+05,5.487e+05
66.0,1.268e+04,7.717e+04,4.192e+05,5.091e+05
67.5,1.038e+04,9.390e+04,3.148e+05,4.191e+05
69.0,1.018e+04,1.115e+05,2.026e+05,3.243e+05
70.6,9.272e+03,1.391e+05,1.417e+05,2.901e+05
72.1,8.435e+03,1.628e+05,1.256e+05,2.969e+05
73.6,1.072e+04,1.814e+05,1.367e+05,3.288e+05
75.2,1.639e+04,2.196e+05,1.711e+05,4.071e+05
76.7,2.053e+04,2.889e+05,2.231e+05,5.326e+05
78.2,2.210e+04,4.634e+05,3.156e+05,8.011e+05
79.8,3.065e+04,7.640e+05,4.302e+05,1.225e+06
81.3,3.724e+04,8.951e+05,4.459e+05,1.378e+06
82.8,4.202e+04,8.045e+05,3.824e+05,1.229e+06
84.4,4.897e+04,6.368e+05,2.862e+05,9.720e+05
85.9,5.062e+04,4.857e+05,2.101e+05,7.464e+05
87.4,4.754e+04,3.551e+05,1.524e+05,5.551e+05
89.0,3.330e+04,2.292e+05,9.845e+04,3.609e+05
90.5,1.734e+04,1.962e+05,7.728e+04,2.908e+05
92.0,1.075e+04,2.567e+05,8.808e+04,3.556e+05
93.6,8.855e+03,2.208e+05,6.780e+04,2.975e+05
95.1,9.948e+03,1.749e+05,4.476e+04,2.296e+05
96.6,9.918e+03,1.433e+05,3.123e+04,1.844e+05
98.2,9.448e+03,1.177e+05,2.182e+04,1.490e+05
99.7,1.021e+04,9.512e+04,1.435e+04,1.197e+05
101.2,1.090e+04,7.592e+04,8.833e+03,9.566e+04
102.8,9.075e+03,6.514e+04,5.383e+03,7.960e+04
104.3,6.974e+03,4.891e+04,3.141e+03,5.903e+04
105.8,7.228e+03,3.353e+04,1.793e+03,4.255e+04
107.4,7.087e+03,2.313e+04,1.375e+03,3.160e+04
108.9,7.192e+03,1.616e+04,1.975e+03,2.533e+04
110.4,1.001e+04,8.494e+03,3.060e+03,2.157e+04
112.0,1.277e+04,3.617e+03,4.274e+03,2.066e+04
113.5,1.363e+04,3.202e+03,5.503e+03,2.234e+04
115.0,1.378e+04,7.213e+03,6.307e+03,2.730e+04
116.6,1.295e+04,1.346e+04,6.823e+03,3.323e+04
118.1,1.313e+04,1.987e+04,7.270e+03,4.027e+04
119.6,1.328e+04,2.291e+04,6.928e+03,4.312e+04
121.2,1.192e+04,2.394e+04,6.355e+03,4.221e+04
122.7,1.037e+04,2.452e+04,5.737e+03,4.063e+04
